Simulation 1:t,X,
, 0,1
, 0.01,0.948013
, 0.02,0.938179
, 0.03,1.02318
, 0.04,1.05386
, 0.05,1.13726
, 0.06,1.15161
, 0.07,1.11107
, 0.08,1.2261
, 0.09,1.13657
, 0.1,1.10883
, 0.11,1.12412
, 0.12,1.21817
, 0.13,1.23627
, 0.14,1.19348
, 0.15,1.19176
, 0.16,1.27309
, 0.17,1.32305
, 0.18,1.29259
, 0.19,1.34007
, 0.2,1.31275
, 0.21,1.37484
, 0.22,1.26817
, 0.23,1.21965
, 0.24,1.20292
, 0.25,1.18208
, 0.26,1.19162
, 0.27,1.21516
, 0.28,1.19783
, 0.29,1.18763
, 0.3,1.13276
, 0.31,1.24245
, 0.32,1.30967
, 0.33,1.22436
, 0.34,1.27155
, 0.35,1.22514
, 0.36,1.18012
, 0.37,1.1468
, 0.38,1.17265
, 0.39,1.17334
, 0.4,1.0963
, 0.41,1.17976
, 0.42,1.30569
, 0.43,1.40051
, 0.44,1.48746
, 0.45,1.4505
, 0.46,1.50396
, 0.47,1.57124
, 0.48,1.62948
, 0.49,1.48536
, 0.5,1.52652
, 0.51,1.50704
, 0.52,1.55059
, 0.53,1.54485
, 0.54,1.56073
, 0.55,1.43799
, 0.56,1.48973
, 0.57,1.50785
, 0.58,1.37465
, 0.59,1.35536
, 0.6,1.24446
, 0.61,1.24086
, 0.62,1.22897
, 0.63,1.40691
, 0.64,1.53765
, 0.65,1.46556
, 0.66,1.39079
, 0.67,1.41243
, 0.68,1.37903
, 0.69,1.29642
, 0.7,1.27843
, 0.71,1.33233
, 0.72,1.43726
, 0.73,1.36117
, 0.74,1.39244
, 0.75,1.29325
, 0.76,1.24171
, 0.77,1.24486
, 0.78,1.17429
, 0.79,1.10128
, 0.8,1.14853
, 0.81,1.14152
, 0.82,1.13121
, 0.83,1.17609
, 0.84,1.25007
, 0.85,1.18677
, 0.86,1.19266
, 0.87,1.23254
, 0.88,1.29534
, 0.89,1.29613
, 0.9,1.30759
, 0.91,1.30087
, 0.92,1.24888
, 0.93,1.15971
, 0.94,1.15677
, 0.95,1.20644
, 0.96,1.15978
, 0.97,1.10169
, 0.98,1.0907
, 0.99,1.06196
, 1,1.09586

Simulation 2:t,X,
, 0,1
, 0.01,0.988523
, 0.02,0.889193
, 0.03,0.843591
, 0.04,0.883014
, 0.05,0.919666
, 0.06,0.935199
, 0.07,0.976068
, 0.08,0.972107
, 0.09,0.923769
, 0.1,0.98239
, 0.11,0.932706
, 0.12,0.839682
, 0.13,0.876648
, 0.14,0.947057
, 0.15,0.941481
, 0.16,0.956713
, 0.17,0.948558
, 0.18,0.959308
, 0.19,0.997339
, 0.2,0.999084
, 0.21,1.00461
, 0.22,1.11724
, 0.23,1.13961
, 0.24,1.16684
, 0.25,1.24646
, 0.26,1.20188
, 0.27,1.17983
, 0.28,1.16686
, 0.29,1.14039
, 0.3,1.11498
, 0.31,1.15241
, 0.32,1.25175
, 0.33,1.2844
, 0.34,1.27116
, 0.35,1.19415
, 0.36,1.11694
, 0.37,1.05193
, 0.38,1.1156
, 0.39,1.15957
, 0.4,1.20107
, 0.41,1.22044
, 0.42,1.14341
, 0.43,1.23201
, 0.44,1.33091
, 0.45,1.4203
, 0.46,1.49578
, 0.47,1.4801
, 0.48,1.54142
, 0.49,1.67152
, 0.5,1.7955
, 0.51,1.97201
