Simulation:t,X,
1, 0,1
1, 0.01,0.993902
1, 0.02,0.939953
1, 0.03,0.972714
1, 0.04,0.920694
1, 0.05,0.923019
1, 0.06,0.958163
1, 0.07,0.960192
1, 0.08,0.935306
1, 0.09,0.957583
1, 0.1,0.967617
1, 0.11,1.07073
1, 0.12,1.08993
1, 0.13,1.14467
1, 0.14,1.18806
1, 0.15,1.17858
1, 0.16,1.15695
1, 0.17,1.11563
1, 0.18,1.18746
1, 0.19,1.13002
1, 0.2,0.977729
1, 0.21,0.940175
1, 0.22,0.916255
1, 0.23,0.824767
1, 0.24,0.828596
1, 0.25,0.793246
1, 0.26,0.794791
1, 0.27,0.789504
1, 0.28,0.764788
1, 0.29,0.76432
1, 0.3,0.799476
1, 0.31,0.816547
1, 0.32,0.787791
1, 0.33,0.84515
1, 0.34,0.880753
1, 0.35,0.867183
1, 0.36,0.897673
1, 0.37,0.953074
1, 0.38,0.955758
1, 0.39,0.942576
1, 0.4,0.997389
1, 0.41,0.931873
1, 0.42,0.926447
1, 0.43,0.905366
1, 0.44,0.909584
1, 0.45,0.986587
1, 0.46,0.986216
1, 0.47,0.966353
1, 0.48,0.951457
1, 0.49,0.923068
1, 0.5,0.850161
1, 0.51,0.809656
1, 0.52,0.84383
1, 0.53,0.892001
1, 0.54,0.83396
1, 0.55,0.795101
1, 0.56,0.859548
1, 0.57,0.867775
1, 0.58,0.862072
1, 0.59,0.92458
1, 0.6,0.83317
1, 0.61,0.858499
1, 0.62,0.859306
1, 0.63,0.882866
1, 0.64,0.831174
1, 0.65,0.879273
1, 0.66,0.904982
1, 0.67,0.840967
1, 0.68,0.837763
1, 0.69,0.878803
1, 0.7,0.870399
1, 0.71,0.853507
1, 0.72,0.810235
1, 0.73,0.806669
1, 0.74,0.764198
1, 0.75,0.795065
1, 0.76,0.793836
1, 0.77,0.799702
1, 0.78,0.799037
1, 0.79,0.801799
1, 0.8,0.849554
1, 0.81,0.844353
1, 0.82,0.901961
1, 0.83,0.952647
1, 0.84,0.974582
1, 0.85,0.981298
1, 0.86,0.984381
1, 0.87,0.990784
1, 0.88,0.899108
1, 0.89,0.944649
1, 0.9,0.934521
1, 0.91,0.978634
1, 0.92,1.02733
1, 0.93,0.988952
1, 0.94,0.991171
1, 0.95,1.09061
1, 0.96,1.08307
1, 0.97,1.12425
1, 0.98,0.962432
1, 0.99,1.02755
