Simulation 1: t, X
1, 0.000000, 1.000000
1, 0.010000, 1.005690
1, 0.020000, 0.981084
1, 0.030000, 0.895688
1, 0.040000, 0.931474
1, 0.050000, 0.961796
1, 0.060000, 0.993548
1, 0.070000, 0.940562
1, 0.080000, 0.969025
1, 0.090000, 0.891292
1, 0.100000, 0.885814
1, 0.110000, 0.962157
1, 0.120000, 0.995822
1, 0.130000, 0.975145
1, 0.140000, 0.977712
1, 0.150000, 1.008074
1, 0.160000, 1.053158
1, 0.170000, 1.105787
1, 0.180000, 1.044053
1, 0.190000, 0.991390
1, 0.200000, 1.002269
1, 0.210000, 1.010049
1, 0.220000, 0.964549
1, 0.230000, 0.975189
1, 0.240000, 0.943123
1, 0.250000, 0.933355
1, 0.260000, 0.934302
1, 0.270000, 1.002379
1, 0.280000, 1.116942
1, 0.290000, 1.059568
1, 0.300000, 1.125151
1, 0.310000, 1.116566
1, 0.320000, 1.023593
1, 0.330000, 1.096049
1, 0.340000, 1.132055
1, 0.350000, 1.168921
1, 0.360000, 1.230838
1, 0.370000, 1.188615
1, 0.380000, 1.272042
1, 0.390000, 1.237590
1, 0.400000, 1.236685
1, 0.410000, 1.169222
1, 0.420000, 1.143665
1, 0.430000, 1.109488
1, 0.440000, 1.086154
1, 0.450000, 1.055949
1, 0.460000, 1.073437
1, 0.470000, 1.022100
1, 0.480000, 1.038325
1, 0.490000, 1.038322
1, 0.500000, 1.025947
1, 0.510000, 1.005019
1, 0.520000, 0.989569
1, 0.530000, 0.978018
1, 0.540000, 0.947725
1, 0.550000, 0.896525
1, 0.560000, 0.945987
1, 0.570000, 0.966847
1, 0.580000, 0.954643
1, 0.590000, 0.895062
1, 0.600000, 0.952188
1, 0.610000, 1.005232
1, 0.620000, 0.936631
1, 0.630000, 1.001714
1, 0.640000, 0.984157
1, 0.650000, 1.078705
1, 0.660000, 0.998863
1, 0.670000, 0.925193
1, 0.680000, 0.971921
1, 0.690000, 1.045426
1, 0.700000, 1.060498
1, 0.710000, 1.054041
1, 0.720000, 1.080733
1, 0.730000, 1.089978
1, 0.740000, 1.125664
1, 0.750000, 1.107319
1, 0.760000, 1.103621
1, 0.770000, 1.142928
1, 0.780000, 1.103460
1, 0.790000, 1.128496
1, 0.800000, 1.071152
1, 0.810000, 1.073371
1, 0.820000, 1.062013
1, 0.830000, 1.085294
1, 0.840000, 1.067297
1, 0.850000, 1.050273
1, 0.860000, 1.001381
1, 0.870000, 1.016247
1, 0.880000, 0.994815
1, 0.890000, 1.010989
1, 0.900000, 0.955146
1, 0.910000, 0.997782
1, 0.920000, 1.060840
1, 0.930000, 1.096915
1, 0.940000, 1.045785
1, 0.950000, 1.096308
1, 0.960000, 1.049639
1, 0.970000, 1.070813
1, 0.980000, 1.065189
1, 0.990000, 1.064891
1, 1.000000, 1.069544

Simulation 2: t, X
2, 0.000000, 1.000000
2, 0.010000, 1.068307
2, 0.020000, 1.113868
2, 0.030000, 1.034219
2, 0.040000, 1.033112
2, 0.050000, 1.055505
2, 0.060000, 0.976270
2, 0.070000, 0.941175
2, 0.080000, 0.970987
2, 0.090000, 0.949455
2, 0.100000, 0.886904
2, 0.110000, 0.859581
2, 0.120000, 0.854639
2, 0.130000, 0.790818
2, 0.140000, 0.732720
2, 0.150000, 0.726850
2, 0.160000, 0.725139
2, 0.170000, 0.666774
2, 0.180000, 0.694104
2, 0.190000, 0.733404
2, 0.200000, 0.735304
2, 0.210000, 0.724471
2, 0.220000, 0.739602
2, 0.230000, 0.729326
2, 0.240000, 0.737706
2, 0.250000, 0.727542
2, 0.260000, 0.688049
2, 0.270000, 0.638702
2, 0.280000, 0.656821
2, 0.290000, 0.715553
2, 0.300000, 0.750234
2, 0.310000, 0.723006
2, 0.320000, 0.697824
2, 0.330000, 0.693562
2, 0.340000, 0.766963
2, 0.350000, 0.839180
2, 0.360000, 0.813942
2, 0.370000, 0.762616
2, 0.380000, 0.769558
2, 0.390000, 0.756652
2, 0.400000, 0.796036
2, 0.410000, 0.795804
2, 0.420000, 0.820713
2, 0.430000, 0.889015
2, 0.440000, 0.972366
2, 0.450000, 0.985347
2, 0.460000, 0.963817
2, 0.470000, 0.960478
2, 0.480000, 0.939430
2, 0.490000, 1.034230
2, 0.500000, 1.060901
2, 0.510000, 1.036226
2, 0.520000, 1.067253
2, 0.530000, 1.160942
2, 0.540000, 1.100226
2, 0.550000, 1.146524
2, 0.560000, 1.127399
2, 0.570000, 1.042761
2, 0.580000, 1.044042
2, 0.590000, 1.029915
2, 0.600000, 0.994787
2, 0.610000, 0.940225
2, 0.620000, 0.925127
2, 0.630000, 0.964170
2, 0.640000, 0.973672
2, 0.650000, 1.004748
2, 0.660000, 0.993724
2, 0.670000, 0.952170
2, 0.680000, 0.986470
2, 0.690000, 0.993366
2, 0.700000, 0.950691
2, 0.710000, 0.996908
2, 0.720000, 0.996486
2, 0.730000, 0.953284
2, 0.740000, 1.009671
2, 0.750000, 0.944833
2, 0.760000, 0.969423
2, 0.770000, 0.961386
2, 0.780000, 1.004538
2, 0.790000, 1.056289
2, 0.800000, 1.122322
2, 0.810000, 1.106981
2, 0.820000, 1.114227
2, 0.830000, 1.057570
2, 0.840000, 1.102675
2, 0.850000, 1.031777
2, 0.860000, 0.985943
2, 0.870000, 0.954761
2, 0.880000, 1.023582
2, 0.890000, 1.064811
2, 0.900000, 1.124210
2, 0.910000, 1.142371
2, 0.920000, 1.147957
2, 0.930000, 1.132013
2, 0.940000, 1.143676
2, 0.950000, 1.147595
2, 0.960000, 1.122570
2, 0.970000, 1.103519
2, 0.980000, 1.020225
2, 0.990000, 0.993079
2, 1.000000, 1.019979

Simulation 3: t, X
3, 0.000000, 1.000000
3, 0.010000, 1.052669
3, 0.020000, 1.056530
3, 0.030000, 1.000647
3, 0.040000, 0.962667
3, 0.050000, 0.953177
3, 0.060000, 0.899608
3, 0.070000, 0.869541
3, 0.080000, 0.900869
3, 0.090000, 0.922293
3, 0.100000, 0.983844
3, 0.110000, 0.967806
3, 0.120000, 0.929583
3, 0.130000, 0.933587
3, 0.140000, 0.983005
3, 0.150000, 0.990761
3, 0.160000, 1.049777
3, 0.170000, 1.096025
3, 0.180000, 1.093818
3, 0.190000, 1.047057
3, 0.200000, 1.134170
3, 0.210000, 1.154005
3, 0.220000, 1.087082
3, 0.230000, 1.097361
3, 0.240000, 1.134639
3, 0.250000, 1.063266
3, 0.260000, 0.966732
3, 0.270000, 0.957091
3, 0.280000, 0.972671
3, 0.290000, 1.005750
3, 0.300000, 1.003425
3, 0.310000, 0.994043
3, 0.320000, 0.973157
3, 0.330000, 0.987053
3, 0.340000, 1.007794
3, 0.350000, 0.967462
3, 0.360000, 0.927975
3, 0.370000, 0.938393
3, 0.380000, 0.834461
3, 0.390000, 0.858039
3, 0.400000, 0.828479
3, 0.410000, 0.774397
3, 0.420000, 0.746992
3, 0.430000, 0.742975
3, 0.440000, 0.735533
3, 0.450000, 0.780796
3, 0.460000, 0.826417
3, 0.470000, 0.886947
3, 0.480000, 0.973394
3, 0.490000, 1.000695
3, 0.500000, 1.021799
3, 0.510000, 0.992243
3, 0.520000, 1.011950
3, 0.530000, 1.125172
3, 0.540000, 1.087860
3, 0.550000, 1.074365
3, 0.560000, 1.061615
3, 0.570000, 1.005383
3, 0.580000, 1.087772
3, 0.590000, 1.010898
3, 0.600000, 0.921496
3, 0.610000, 0.949177
3, 0.620000, 0.968282
3, 0.630000, 1.017518
3, 0.640000, 1.045165
3, 0.650000, 0.919855
3, 0.660000, 0.954304
3, 0.670000, 1.002682
3, 0.680000, 1.055286
3, 0.690000, 1.045676
3, 0.700000, 1.170815
3, 0.710000, 1.185066
3, 0.720000, 1.074362
3, 0.730000, 1.009616
3, 0.740000, 0.940637
3, 0.750000, 0.886718
3, 0.760000, 0.921670
3, 0.770000, 0.900134
3, 0.780000, 0.950290
3, 0.790000, 0.837450
3, 0.800000, 0.768145
3, 0.810000, 0.763770
3, 0.820000, 0.842947
3, 0.830000, 0.901465
3, 0.840000, 0.950214
3, 0.850000, 0.918510
3, 0.860000, 0.888530
3, 0.870000, 0.864460
3, 0.880000, 0.767170
3, 0.890000, 0.783896
3, 0.900000, 0.873213
3, 0.910000, 0.851813
3, 0.920000, 0.815842
3, 0.930000, 0.730881
3, 0.940000, 0.664518
3, 0.950000, 0.604860
3, 0.960000, 0.585823
3, 0.970000, 0.556039
3, 0.980000, 0.559920
3, 0.990000, 0.542969
3, 1.000000, 0.545882

Simulation 4: t, X
4, 0.000000, 1.000000
4, 0.010000, 0.949252
4, 0.020000, 0.870132
4, 0.030000, 0.900035
4, 0.040000, 0.867792
4, 0.050000, 0.869874
4, 0.060000, 0.859456
4, 0.070000, 0.820206
4, 0.080000, 0.817034
4, 0.090000, 0.875215
4, 0.100000, 0.905113
4, 0.110000, 0.962360
4, 0.120000, 0.974213
4, 0.130000, 1.022108
