Simulation 1: t, X
1, 0, 1
1, 0.01, 1.0085644069884805
1, 0.02, 0.9684277857972499
1, 0.03, 0.9231645838037259
1, 0.04, 0.882973295753582
1, 0.05, 0.8842062470727114
1, 0.06, 0.7943933380605297
1, 0.07, 0.7487787644745675
1, 0.08, 0.7511600842647294
1, 0.09, 0.8062129185152737
1, 0.1, 0.7766266241897397
1, 0.11, 0.7817003075497608
1, 0.12, 0.7379196179151707
1, 0.13, 0.7026401342019495
1, 0.14, 0.738731231488776
1, 0.15, 0.7799814572300547
1, 0.16, 0.8515783687359937
1, 0.17, 0.8409622654270718
1, 0.18, 0.8708950213630707
1, 0.19, 0.8904673052973741
1, 0.2, 0.9039529112349578
1, 0.21, 0.9576863245521183
1, 0.22, 0.886452936609477
1, 0.23, 0.8752650674363621
1, 0.24, 0.9279450355877524
1, 0.25, 0.8816774436477739
1, 0.26, 0.9353912863681194
1, 0.27, 0.9830152515112968
1, 0.28, 0.9638104413072339
1, 0.29, 0.9404855211741776
1, 0.3, 1.0179166222743545
1, 0.31, 1.0302936908032592
1, 0.32, 0.9402675629456816
1, 0.33, 0.8910786280050693
1, 0.34, 0.9467495991305191
1, 0.35000000000000003, 0.9627279988679284
1, 0.36, 0.8736929378248773
1, 0.37, 0.849698592629999
1, 0.38, 0.8495247001282942
1, 0.39, 0.8686943164687106
1, 0.4, 0.8555369498075301
1, 0.41000000000000003, 0.8112555842059542
1, 0.42, 0.7108209143900813
1, 0.43, 0.6917322438261079
1, 0.44, 0.7153045664026357
1, 0.45, 0.6890116931312015
1, 0.46, 0.6429375375175466
1, 0.47000000000000003, 0.6363724480123661
1, 0.48, 0.6448212967118712
1, 0.49, 0.6302139531349674
1, 0.5, 0.6354020544687287
1, 0.51, 0.5797372191393738
1, 0.52, 0.5977951636951291
1, 0.53, 0.5996811067635909
1, 0.54, 0.5630700152553724
1, 0.55, 0.600004048150101
1, 0.56, 0.6526093340100979
1, 0.5700000000000001, 0.6655013251845296
1, 0.58, 0.6758941117578642
1, 0.59, 0.6918650747538774
1, 0.6, 0.7246188827849729
1, 0.61, 0.7278569757679756
1, 0.62, 0.7439937295423581
1, 0.63, 0.6964128674574139
1, 0.64, 0.6593430077896745
1, 0.65, 0.6227836745910109
1, 0.66, 0.6316467032890489
1, 0.67, 0.6398847532357395
1, 0.68, 0.6381306018752716
1, 0.6900000000000001, 0.6869270948540389
1, 0.7000000000000001, 0.6898626044151375
1, 0.71, 0.657767667750578
1, 0.72, 0.6097087334443849
1, 0.73, 0.5427760915995025
1, 0.74, 0.6116993633766498
1, 0.75, 0.6353799897616016
1, 0.76, 0.6643295209281292
1, 0.77, 0.6783440717385247
1, 0.78, 0.7079301264653454
1, 0.79, 0.727583774357702
1, 0.8, 0.7148685919092084
1, 0.81, 0.7566773052629443
1, 0.8200000000000001, 0.7651317822594839
1, 0.8300000000000001, 0.7519552221707851
1, 0.84, 0.8053624331429777
1, 0.85, 0.8876188210162871
1, 0.86, 0.8946108500882508
1, 0.87, 0.8615458426306102
1, 0.88, 0.8809626174344243
1, 0.89, 0.7752644104228337
1, 0.9, 0.733278639234434
1, 0.91, 0.7037117128544841
1, 0.92, 0.6630472519271501
1, 0.93, 0.6343347628299386
1, 0.9400000000000001, 0.6171913322935865
1, 0.9500000000000001, 0.605143015141072
1, 0.96, 0.6335996792640269
1, 0.97, 0.6178074109466055
1, 0.98, 0.6197222778589712
1, 0.99, 0.6261094205592256
1, 1, 0.5928258009435263

Simulation 2: t, X
2, 0, 1
2, 0.01, 1.0205534190819205
2, 0.02, 1.0201005897400999
2, 0.03, 1.097183431170683
2, 0.04, 1.1054960385739834
2, 0.05, 1.0571801138652972
2, 0.06, 1.1289102771877155
2, 0.07, 1.2433206126428096
2, 0.08, 1.2630157213298463
2, 0.09, 1.2349009328693965
2, 0.1, 1.113093193370446
2, 0.11, 1.0679477393433523
2, 0.12, 1.057931829661322
2, 0.13, 1.083880137492751
2, 0.14, 1.1152762625484678
2, 0.15, 1.179834212547111
2, 0.16, 1.2029795815278672
2, 0.17, 1.2338012775516496
2, 0.18, 1.1368894574524453
2, 0.19, 1.1038122094143634
2, 0.2, 1.03791942346372
2, 0.21, 1.1156222816254828
2, 0.22, 1.0815720112240448
2, 0.23, 1.0902996558803921
2, 0.24, 1.1643408735419403
2, 0.25, 1.0151863073588574
2, 0.26, 0.9216944667501633
2, 0.27, 0.8952507706155988
2, 0.28, 0.8289977883924744
2, 0.29, 0.8139187220923616
2, 0.3, 0.7588619050566969
2, 0.31, 0.6999040477897349
2, 0.32, 0.6991647464844071
2, 0.33, 0.7366362997705687
2, 0.34, 0.693962039827605
2, 0.35000000000000003, 0.7325702683474474
2, 0.36, 0.7871296329376234
2, 0.37, 0.7929192290703309
2, 0.38, 0.7601992665888946
2, 0.39, 0.7354843813346431
2, 0.4, 0.7367614053403198
2, 0.41000000000000003, 0.748960877852237
2, 0.42, 0.802567665707894
2, 0.43, 0.8263004094507198
2, 0.44, 0.8369296413018666
2, 0.45, 0.7871355508273787
2, 0.46, 0.8785284989028849
2, 0.47000000000000003, 0.8118182353378784
2, 0.48, 0.8159376025913331
2, 0.49, 0.8624969660911309
2, 0.5, 0.8364546643340542
2, 0.51, 0.878074843177518
2, 0.52, 0.90655693852447
2, 0.53, 0.9644782611217627
2, 0.54, 0.8996745419422504
2, 0.55, 0.8538803580270565
2, 0.56, 0.9073731605079915
2, 0.5700000000000001, 0.8310161093901622
2, 0.58, 0.8595914362356141
2, 0.59, 0.8712865340349286
2, 0.6, 0.8900072220728487
2, 0.61, 1.0128681307716785
2, 0.62, 0.9346973465641236
2, 0.63, 0.9337033046521588
2, 0.64, 0.899351192329813
2, 0.65, 0.9354410910352315
2, 0.66, 0.9851538730037243
2, 0.67, 0.9397629978112922
2, 0.68, 0.9304179448252577
2, 0.6900000000000001, 0.9266875481159221
2, 0.7000000000000001, 0.927801660435231
2, 0.71, 0.9143809893375296
2, 0.72, 0.9103351310082477
2, 0.73, 0.917473673130155
2, 0.74, 0.8953265425048025
2, 0.75, 0.888065739590248
2, 0.76, 0.8228078744668981
